theta0,method,h,period,steps,error_vs_adapt
0.10,analytic,N/A,2.00606668,0,N/A
0.10,adaptive,1.0e-07,2.00724434,23,0.0
0.10,constant,0.0100,2.00732106,201,0.00007672
0.10,constant,0.0010,2.00732119,2008,0.00007685
0.10,constant,0.0001,2.00732119,20074,0.00007685
0.50,analytic,N/A,2.00606668,0,N/A
0.50,adaptive,1.0e-07,2.03780148,31,0.0
0.50,constant,0.0100,2.03786779,204,0.00006632
0.50,constant,0.0010,2.03786792,2038,0.00006644
0.50,constant,0.0001,2.03786792,20379,0.00006644
1.00,analytic,N/A,2.00606668,0,N/A
1.00,adaptive,1.0e-07,2.13919246,34,0.0
1.00,constant,0.0100,2.13913755,214,0.00005491
1.00,constant,0.0010,2.13913760,2140,0.00005486
1.00,constant,0.0001,2.13913760,21392,0.00005486
2.00,analytic,N/A,2.00606668,0,N/A
2.00,adaptive,1.0e-07,2.66589275,45,0.0
2.00,constant,0.0100,2.66587098,267,0.00002177
2.00,constant,0.0010,2.66587094,2666,0.00002180
2.00,constant,0.0001,2.66587094,26659,0.00002180
3.00,analytic,N/A,2.00606668,0,N/A
3.00,adaptive,1.0e-07,5.15819059,80,0.0
3.00,constant,0.0100,5.15806682,516,0.00012377
3.00,constant,0.0010,5.15806675,5159,0.00012384
3.00,constant,0.0001,5.15806675,51581,0.00012384
